stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
477,477,Charleston @ Durango (E),,36.158958,-115.279466,,,,,,0
478,478,Charleston @ Durango (W),,36.159175,-115.280807,,,,,,0
479,479,Charleston @ Eastern (W),,36.158962,-115.119857,,,,,,0
480,480,Charleston @ Faircenter (E),,36.158945,-115.200781,,,,,,0
482,482,Charleston @ Frank (E),,36.15886,-115.067983,,,,,,0
483,483,Charleston @ Fremont (E),,36.15874,-115.115516,,,,,,0
484,484,Charleston @ Hinson (E),,36.158911,-115.194804,,,,,,0
485,485,Charleston @ Hinson (W),,36.15914,-115.196039,,,,,,0
486,486,Charleston @ Honolulu (W),,36.158963,-115.094151,,,,,,0
487,487,Charleston @ Jones (E),,36.159051,-115.222962,,,,,,0
488,488,Charleston @ Jones (W),,36.159309,-115.224926,,,,,,0
489,489,Charleston @ Las Vegas (E),,36.158734,-115.147005,,,,,,0
490,490,Charleston @ Las Vegas (W),,36.158957,-115.148204,,,,,,0
491,491,Charleston @ Lamb (E),,36.158848,-115.079742,,,,,,0
492,492,Charleston @ Lamb (W),,36.159063,-115.081447,,,,,,0
495,495,Charleston @ Marion (W),,36.159085,-115.073181,,,,,,0
496,496,Charleston @ Marion (W),,36.159101,-115.07665,,,,,,0
497,497,Charleston @ Maryland (E),,36.158763,-115.136234,,,,,,0
498,498,Charleston @ Maryland (W),,36.159004,-115.13779,,,,,,0
499,499,Charleston @ Mohawk (E),,36.159037,-115.214512,,,,,,0
500,500,Charleston @ Mohawk (W),,36.159288,-115.215781,,,,,,0
501,501,Charleston @ Mojave (E),,36.158725,-115.106353,,,,,,0
502,502,Charleston @ Mojave (W),,36.158947,-115.106102,,,,,,0
503,503,Charleston @ Nellis (E),,36.15895,-115.061301,,,,,,0
504,504,Charleston @ Nellis (W),,36.159153,-115.063968,,,,,,0
507,507,Charleston @ Odette (W),,36.15921,-115.287579,,,,,,0
508,508,Charleston @ Palm (E),,36.158722,-115.100674,,,,,,0
509,509,Charleston @ Plantation (E),,36.158999,-115.255819,,,,,,0
510,510,Charleston @ Palmhurst (W),,36.159212,-115.255654,,,,,,0
511,511,Charleston @ Pecos (W),,36.158977,-115.099004,,,,,,0
512,512,Charleston @ Pecos (W),,36.158976,-115.102265,,,,,,0
513,513,Charleston @ Pleasant Brook (E),,36.159144,-115.056724,,,,,,0
515,515,Charleston @ Rainbow (E),,36.15901,-115.242706,,,,,,0
516,516,Charleston @ Rainbow (W),,36.159235,-115.244603,,,,,,0
517,517,Charleston @ Rancho (E),,36.158762,-115.172033,,,,,,0
518,518,Charleston @ Rancho (W),,36.159007,-115.173398,,,,,,0
519,519,Charleston @ Redwood (W),,36.159242,-115.239945,,,,,,0
522,522,Charleston @ Sacramento (E),,36.158796,-115.087007,,,,,,0
523,523,Charleston @ Sacramento (W),,36.159001,-115.088303,,,,,,0
524,524,Charleston @ Sandhill (E),,36.158711,-115.094607,,,,,,0
525,525,Charleston @ Torrey Pines (E),,36.159039,-115.237176,,,,,,0
527,527,Charleston @ Shetland (W),,36.159032,-115.178297,,,,,,0
529,529,Charleston @ Linn (W),,36.159523,-115.048505,,,,,,0
530,530,Charleston @ Tomsik (E),,36.158971,-115.272341,,,,,,0
531,531,Charleston @ Tonopah (W),,36.159018,-115.170629,,,,,,0
